# Linux Network Namespaces - High Quality Flashcards
# Format: ID	Question	Answer (use <br> for line breaks in answer)
# Following AGENT_README_v2.md first-principles guidelines

NET001	WHY do network interfaces exist in Linux? What problem do they solve?	<b>PROBLEM:</b> A computer needs multiple "doors" to send/receive traffic - one for local communication, others for external networks, VPNs, containers, etc.<br><br><b>SOLUTION:</b> Network interfaces are abstracted "doors" for traffic.<br><br><b>TWO TYPES:</b><br>• Physical interfaces (eth0, wlan0) - connected to hardware<br>• Virtual interfaces (lo, veth, docker0) - created by software<br><br><b>NAMING CONVENTION:</b><br>• eth0, eth1 = Ethernet (wired)<br>• wlan0 = Wireless LAN (WiFi)<br>• lo = Loopback (always 127.0.0.1)<br><br><b>KEY INSIGHT:</b> Interfaces aren't just hardware - they're an ABSTRACTION that lets Linux treat virtual network paths the same as physical ones. This is what makes containers possible.

NET002	WHAT is the loopback interface (lo)? Why does EVERY system have one and what problem does it solve?	<b>DEFINITION:</b> A virtual interface that always points back to the same computer. IP: 127.0.0.1 (localhost).<br><br><b>THE PROBLEM IT SOLVES:</b><br>Without loopback: Programs need special IPC code to talk locally<br>With loopback: Programs use SAME networking code for local and remote<br><br><b>WHY EVERY SYSTEM HAS ONE:</b><br>1. Testing servers without a network<br>2. Inter-process communication (database connections)<br>3. Services binding to localhost for security<br>4. Development (localhost:3000)<br><br><b>KEY DIFFERENCES FROM eth0:</b><br>• lo: Traffic NEVER leaves the computer<br>• eth0: Traffic goes to physical network<br>• lo: Always 127.0.0.1/8<br>• eth0: Assigned IP (e.g., 192.168.1.100)<br><br><b>COMMON USE:</b> mysql -h 127.0.0.1 connects via loopback even though MySQL is on same machine.

NET003	WHAT are the three private IP ranges (RFC 1918)? WHY do they exist and when to use each?	<b>THE THREE RANGES:</b><br><br>1. <b>10.0.0.0/8</b> (Class A)<br>• Size: 16,777,216 addresses<br>• Use: Large enterprises, data centers<br>• Example: 10.0.1.50<br><br>2. <b>172.16.0.0/12</b> (Class B)<br>• Size: 1,048,576 addresses<br>• Range: 172.16.x.x to 172.31.x.x<br>• Use: Docker, WSL2, VPNs<br>• Example: 172.17.0.2 (Docker container)<br><br>3. <b>192.168.0.0/16</b> (Class C)<br>• Size: 65,536 addresses<br>• Use: Home networks, small offices<br>• Example: 192.168.1.1 (your router)<br><br><b>WHY THEY EXIST (RFC 1918, 1996):</b><br>• Free to use (no registration)<br>• Internet routers won't route them (security)<br>• Reusable (every home uses 192.168.x.x)<br>• NAT translates to public IP when needed<br><br><b>KEY INSIGHT:</b> These ranges provide isolation AND allow infinite reuse. Without them, we'd have run out of IPv4 addresses decades ago.

NET004	HOW does CIDR notation work? Explain /24, /16, /8 and how to calculate available hosts.	<b>CIDR</b> = Classless Inter-Domain Routing<br><br><b>THE FORMAT:</b> IP/prefix (e.g., 192.168.1.100/24)<br>• The /number = how many bits are the NETWORK portion<br>• Remaining bits = HOST portion<br><br><b>CALCULATION:</b><br>• Total bits in IPv4 = 32<br>• Host bits = 32 - prefix<br>• Available hosts = 2^(host bits) - 2<br><br><b>COMMON PREFIXES:</b><br>/24 = 256 addresses (254 usable) - Network: 24 bits, Host: 8 bits<br>/16 = 65,536 addresses<br>/8 = 16,777,216 addresses<br>/32 = 1 address (single host, used for Tailscale)<br><br><b>HOW TO READ 192.168.1.100/24:</b><br>• Network: 192.168.1 (first 24 bits)<br>• Host: 100 (last 8 bits)<br>• Range: 192.168.1.0 to 192.168.1.255

NET005	WHAT is a routing table and HOW does the kernel use it to decide where to send packets?	<b>DEFINITION:</b> A set of rules telling the kernel "to reach destination X, send via interface Y through gateway Z."<br><br><b>THE DECISION PROCESS:</b><br>1. Kernel receives outgoing packet for IP X<br>2. Scans routing table top-to-bottom<br>3. Finds FIRST matching rule (most specific wins)<br>4. Sends packet via that interface/gateway<br><br><b>EXAMPLE TABLE:</b><br>192.168.1.0/24 → wlan0 (local network)<br>10.0.0.0/8 → eth0 (VPN network)<br>0.0.0.0/0 → gateway 192.168.1.1 (default route)<br><br><b>SPECIAL ENTRIES:</b><br>• 0.0.0.0/0 = Default route (catch-all)<br>• Gateway 0.0.0.0 = "directly connected"<br>• Gateway with IP = "send to this router first"<br><br><b>KEY INSIGHT:</b> More specific routes (/24) take precedence over less specific (/0). This is how VPNs work - they add more specific routes.

